Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season
Ajay Mitchell,22.0,OKC,SG,22.0,0.0,16.1,2.3,4.7,0.481,0.6,1.4,0.433,1.7,3.4,0.5,0.543,0.5,0.6,0.769,0.4,1.0,1.5,1.6,0.9,0.0,0.8,1.8,5.6,,2024-25
Ja'Kobe Walter,20.0,TOR,SG,9.0,4.0,17.7,2.2,6.9,0.323,0.6,3.2,0.172,1.7,3.7,0.455,0.363,0.6,0.9,0.625,1.1,2.8,3.9,1.3,0.4,0.2,0.9,2.0,5.6,,2024-25
Jonathan Mogbo,23.0,TOR,PF,23.0,1.0,15.9,2.0,4.0,0.495,0.2,0.7,0.313,1.8,3.3,0.532,0.522,1.3,1.8,0.714,2.2,2.0,4.2,1.7,0.9,0.4,0.9,1.9,5.5,,2024-25
Day'Ron Sharpe,23.0,BRK,C,2.0,0.0,16.5,1.5,4.0,0.375,0.5,1.0,0.5,1.0,3.0,0.333,0.438,2.0,2.0,1.0,1.5,2.5,4.0,1.5,1.0,0.5,0.5,1.5,5.5,,2024-25
Ben Simmons,28.0,BRK,PG,17.0,13.0,24.0,2.6,4.4,0.608,0.0,0.0,,2.6,4.4,0.608,0.608,0.2,0.5,0.5,1.1,4.8,5.8,6.7,0.9,0.6,2.5,2.7,5.5,,2024-25
Kobe Bufkin,21.0,ATL,SG,9.0,0.0,13.3,1.8,4.9,0.364,0.4,2.0,0.222,1.3,2.9,0.462,0.409,1.4,2.0,0.722,0.6,1.6,2.1,1.9,0.3,0.2,0.8,0.9,5.4,,2024-25
Kevon Looney,28.0,GSW,C,19.0,2.0,16.1,2.3,4.4,0.512,0.0,0.0,,2.3,4.4,0.512,0.512,0.9,1.9,0.459,3.7,4.3,8.0,1.7,0.9,0.3,0.8,2.7,5.4,,2024-25
Trey Lyles,29.0,SAC,PF,18.0,2.0,19.6,1.8,5.1,0.363,1.2,3.7,0.333,0.6,1.4,0.44,0.484,0.6,0.8,0.714,0.8,3.1,3.9,0.9,0.6,0.6,0.6,1.4,5.4,,2024-25
Alec Burks,33.0,MIA,SG,12.0,0.0,15.1,1.8,3.8,0.457,1.3,2.7,0.469,0.5,1.2,0.429,0.62,0.5,0.7,0.75,0.3,1.6,1.9,1.3,0.5,0.3,0.2,0.4,5.3,,2024-25
Antonio Reeves,24.0,NOP,SG,12.0,0.0,10.8,2.1,5.1,0.41,0.7,2.5,0.267,1.4,2.6,0.548,0.475,0.5,0.6,0.857,0.3,1.0,1.3,0.4,0.3,0.0,0.3,0.5,5.3,,2024-25
Vince Williams Jr.,24.0,MEM,SG,3.0,0.0,15.0,2.3,6.3,0.368,0.3,2.7,0.125,2.0,3.7,0.545,0.395,0.3,1.3,0.25,1.3,2.3,3.7,3.0,0.0,0.7,2.3,3.0,5.3,,2024-25
Kyle Anderson,31.0,GSW,PF,20.0,0.0,15.2,2.1,5.0,0.41,0.5,1.7,0.265,1.6,3.3,0.485,0.455,0.7,1.0,0.65,0.6,2.7,3.2,2.6,0.9,0.5,0.6,1.1,5.2,,2024-25
Matas Buzelis,20.0,CHI,SF,22.0,0.0,12.0,1.8,4.4,0.417,0.9,2.3,0.38,1.0,2.1,0.457,0.516,0.7,1.0,0.762,0.5,2.0,2.5,0.3,0.4,0.6,0.7,1.5,5.2,,2024-25
Alex Caruso,30.0,OKC,SG,14.0,0.0,19.6,2.1,5.7,0.363,0.7,3.0,0.238,1.4,2.7,0.5,0.425,0.4,0.5,0.714,0.6,2.4,3.0,2.1,1.9,0.7,0.7,2.5,5.2,,2024-25
Torrey Craig,34.0,CHI,SF,6.0,1.0,11.2,1.8,3.7,0.5,1.2,3.0,0.389,0.7,0.7,1.0,0.659,0.3,0.3,1.0,0.5,1.7,2.2,0.5,0.2,0.2,0.0,1.7,5.2,,2024-25
Jarace Walker,21.0,IND,PF,23.0,1.0,17.9,1.7,4.3,0.4,0.9,2.3,0.37,0.9,2.0,0.435,0.5,0.8,1.3,0.613,0.5,3.0,3.5,1.5,1.3,0.3,1.4,1.7,5.2,,2024-25
Jamal Cain,25.0,NOP,SF,13.0,0.0,14.7,1.8,3.8,0.48,0.7,1.9,0.36,1.2,1.9,0.6,0.57,0.7,1.1,0.643,0.8,1.9,2.8,0.7,0.5,0.5,0.5,1.4,5.1,,2024-25
Monte Morris,29.0,PHO,PG,16.0,0.0,11.3,1.8,3.8,0.475,0.8,1.8,0.414,1.1,2.0,0.531,0.574,0.8,0.9,0.857,0.2,1.1,1.3,1.6,0.4,0.2,0.3,0.4,5.1,,2024-25
Dean Wade,28.0,CLE,PF,15.0,7.0,21.5,1.7,4.7,0.366,1.3,4.0,0.317,0.5,0.7,0.636,0.5,0.3,1.0,0.333,0.5,3.9,4.4,1.5,0.9,0.3,0.3,1.5,5.1,,2024-25
Cam Christie,19.0,LAC,SG,1.0,0.0,18.0,2.0,7.0,0.286,1.0,4.0,0.25,1.0,3.0,0.333,0.357,0.0,0.0,,1.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,5.0,,2024-25
Micah Potter,26.0,UTA,C,3.0,1.0,20.0,1.7,4.0,0.417,1.7,3.3,0.5,0.0,0.7,0.0,0.625,0.0,0.0,,3.0,4.0,7.0,1.0,0.3,0.3,1.3,1.3,5.0,,2024-25
Tidjane Salaün,19.0,CHO,PF,20.0,8.0,18.8,1.7,5.1,0.327,1.0,3.4,0.294,0.7,1.7,0.394,0.426,0.7,1.0,0.737,0.9,3.2,4.1,1.0,0.6,0.2,0.8,1.4,5.0,,2024-25
Alondes Williams,25.0,DET,SG,1.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,,2024-25
Mark Williams,23.0,CHO,C,2.0,0.0,9.5,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,1.0,1.0,1.0,1.5,2.5,4.0,0.5,0.5,0.5,0.5,0.5,5.0,,2024-25
Mo Bamba,26.0,LAC,C,10.0,0.0,13.6,1.9,4.3,0.442,0.5,2.0,0.25,1.4,2.3,0.609,0.5,0.6,0.9,0.667,0.7,3.2,3.9,0.8,0.7,1.2,0.7,2.2,4.9,,2024-25
Pat Connaughton,32.0,MIL,SG,15.0,0.0,17.0,1.7,4.7,0.371,0.9,2.9,0.295,0.9,1.7,0.5,0.464,0.6,0.8,0.75,0.5,2.5,3.0,1.7,0.2,0.3,0.7,1.3,4.9,,2024-25
Seth Curry,34.0,CHO,SG,21.0,4.0,12.8,1.8,3.8,0.475,0.9,2.0,0.452,0.9,1.8,0.5,0.594,0.3,0.4,0.778,0.4,1.0,1.4,0.4,0.4,0.2,0.3,1.0,4.9,,2024-25
Isaac Jones,24.0,SAC,PF,13.0,0.0,9.9,2.2,3.2,0.683,0.1,0.2,0.333,2.1,2.9,0.711,0.695,0.5,1.2,0.467,0.6,1.2,1.8,0.2,0.1,0.5,0.6,1.5,4.9,,2024-25
Paul Reed,25.0,DET,C,11.0,0.0,10.0,1.7,3.0,0.576,0.4,0.8,0.444,1.4,2.2,0.625,0.636,1.1,1.4,0.8,0.6,1.5,2.1,0.5,0.7,0.5,0.8,1.7,4.9,,2024-25
Cole Anthony,24.0,ORL,PG,21.0,0.0,9.9,1.6,4.0,0.388,0.6,1.8,0.316,1.0,2.2,0.447,0.459,1.1,1.5,0.719,0.3,1.8,2.1,1.7,0.4,0.0,1.1,1.4,4.8,,2024-25
Eric Gordon,36.0,PHI,SG,16.0,1.0,16.5,1.6,4.8,0.325,0.6,2.6,0.238,0.9,2.2,0.429,0.39,1.1,1.4,0.773,0.2,0.8,0.9,1.3,0.6,0.3,0.8,0.8,4.8,,2024-25
Sandro Mamukelashvili,25.0,SAS,PF,16.0,0.0,8.9,1.7,2.9,0.574,0.9,2.0,0.469,0.8,0.9,0.8,0.734,0.5,0.6,0.889,0.5,2.2,2.7,0.3,0.2,0.3,0.6,0.6,4.8,,2024-25
KJ Simpson,22.0,CHO,PG,6.0,0.0,15.2,1.7,5.3,0.313,0.5,2.8,0.176,1.2,2.5,0.467,0.359,1.0,1.3,0.75,1.3,1.0,2.3,2.7,0.7,0.2,1.3,1.5,4.8,,2024-25
Jared Butler,24.0,WAS,SG,15.0,0.0,9.1,1.8,4.1,0.435,0.1,0.8,0.167,1.7,3.3,0.5,0.452,1.0,1.4,0.714,0.1,0.4,0.5,2.3,0.4,0.1,0.5,1.0,4.7,,2024-25
Taylor Hendricks,21.0,UTA,PF,3.0,3.0,25.0,1.3,6.0,0.222,1.0,4.0,0.25,0.3,2.0,0.167,0.306,1.0,1.3,0.75,1.7,3.3,5.0,0.7,1.7,1.3,0.7,2.7,4.7,,2024-25
Wendell Moore Jr.,23.0,DET,SG,11.0,0.0,14.9,1.7,3.2,0.543,0.3,0.8,0.333,1.5,2.4,0.615,0.586,1.0,1.1,0.917,0.8,2.5,3.3,1.1,0.6,0.3,0.7,1.1,4.7,,2024-25
Gary Payton II,32.0,GSW,SG,21.0,2.0,12.5,2.1,3.7,0.577,0.2,1.0,0.182,2.0,2.7,0.732,0.603,0.2,0.4,0.625,1.0,1.4,2.3,1.1,0.7,0.3,0.4,1.4,4.7,,2024-25
Keaton Wallace,25.0,ATL,PG,12.0,1.0,16.2,1.8,4.6,0.4,0.7,2.2,0.308,1.2,2.4,0.483,0.473,0.3,0.3,1.0,0.2,1.3,1.5,1.8,0.8,0.5,1.0,1.1,4.7,,2024-25
Oso Ighodaro,22.0,PHO,PF,16.0,2.0,17.3,2.0,3.1,0.64,0.0,0.0,,2.0,3.1,0.64,0.64,0.6,0.8,0.769,1.0,2.9,3.9,0.9,0.4,0.4,0.7,2.0,4.6,,2024-25
Julian Phillips,21.0,CHI,SF,22.0,2.0,15.0,1.6,4.0,0.409,0.8,2.5,0.315,0.9,1.5,0.559,0.506,0.6,1.0,0.619,0.8,1.4,2.2,0.5,0.7,0.3,0.4,1.4,4.6,,2024-25
Mason Plumlee,34.0,PHO,C,20.0,5.0,17.4,1.8,3.2,0.571,0.0,0.0,,1.8,3.2,0.571,0.571,1.0,1.9,0.526,1.5,4.4,5.9,1.7,0.4,0.7,0.9,1.9,4.6,,2024-25
Lonzo Ball,27.0,CHI,PG,6.0,0.0,16.2,1.7,4.3,0.385,1.2,3.7,0.318,0.5,0.7,0.75,0.519,0.0,0.0,,0.2,2.3,2.5,3.5,1.2,0.5,0.8,0.8,4.5,,2024-25
Luke Kornet,29.0,BOS,C,17.0,3.0,17.5,1.8,2.8,0.638,0.0,0.0,,1.8,2.8,0.638,0.638,1.0,1.1,0.895,1.8,2.5,4.4,1.6,0.6,1.2,0.4,1.4,4.5,,2024-25
Jamal Shead,22.0,TOR,PG,23.0,0.0,14.1,1.8,4.7,0.38,0.6,1.9,0.295,1.2,2.8,0.438,0.44,0.4,0.5,0.75,0.1,0.8,0.9,2.8,0.4,0.1,1.3,1.8,4.5,,2024-25
Dalen Terry,22.0,CHI,SG,23.0,0.0,13.8,1.6,3.1,0.5,0.4,1.1,0.36,1.2,2.0,0.574,0.563,1.0,1.2,0.786,0.7,0.7,1.4,1.0,0.6,0.3,0.9,1.5,4.5,,2024-25
Ricky Council IV,23.0,PHI,SF,17.0,0.0,11.8,1.5,3.6,0.41,0.4,1.6,0.259,1.1,2.0,0.529,0.467,1.1,1.2,0.857,0.3,1.2,1.5,0.8,0.2,0.2,0.2,0.7,4.4,,2024-25
Thomas Bryant,27.0,MIA,C,9.0,0.0,12.0,1.3,3.1,0.429,0.7,1.9,0.353,0.7,1.2,0.545,0.536,1.0,1.0,1.0,0.7,2.8,3.4,0.4,0.1,0.8,0.2,0.9,4.3,,2024-25
Reggie Jackson,34.0,PHI,PG,10.0,0.0,11.9,1.6,3.9,0.41,1.1,2.5,0.44,0.5,1.4,0.357,0.551,0.0,0.0,,0.1,0.8,0.9,2.1,0.6,0.3,0.7,0.8,4.3,,2024-25
Kris Murray,24.0,POR,SF,19.0,0.0,12.9,1.7,3.7,0.457,0.5,1.7,0.313,1.2,2.0,0.579,0.529,0.4,1.0,0.368,1.1,1.3,2.3,0.6,0.5,0.2,0.6,1.0,4.3,,2024-25
Svi Mykhailiuk,27.0,UTA,SF,4.0,1.0,12.3,1.3,3.8,0.333,1.0,3.3,0.308,0.3,0.5,0.5,0.467,0.8,1.0,0.75,0.0,0.3,0.3,1.0,1.0,0.3,1.8,1.3,4.3,,2024-25
Blake Wesley,21.0,SAS,SG,18.0,0.0,11.6,1.6,3.7,0.439,0.2,1.1,0.2,1.4,2.6,0.543,0.47,0.7,1.1,0.684,0.3,0.6,0.8,1.5,0.4,0.1,1.1,0.6,4.2,,2024-25
Marvin Bagley III,25.0,WAS,C,14.0,1.0,6.7,1.7,3.2,0.533,0.1,0.6,0.25,1.6,2.6,0.595,0.556,0.6,0.8,0.727,1.1,1.4,2.5,0.2,0.3,0.1,0.6,0.3,4.1,,2024-25
Drew Eubanks,27.0,UTA,C,18.0,0.0,13.6,1.7,3.0,0.556,0.1,0.2,0.333,1.6,2.8,0.569,0.565,0.7,1.2,0.571,1.2,2.7,3.9,1.2,0.2,0.6,0.9,1.2,4.1,,2024-25
Gary Harris,30.0,ORL,SG,17.0,2.0,16.6,1.4,3.5,0.4,1.0,2.7,0.37,0.4,0.8,0.5,0.542,0.2,0.4,0.667,0.5,0.8,1.4,0.4,0.5,0.3,0.4,0.8,4.1,,2024-25
Tre Jones,25.0,SAS,PG,8.0,0.0,17.5,1.3,3.8,0.333,0.4,1.5,0.25,0.9,2.3,0.389,0.383,1.3,1.8,0.714,0.6,1.8,2.4,3.3,0.6,0.3,0.6,1.5,4.1,,2024-25
Jae Crowder,34.0,SAC,SF,5.0,2.0,16.8,1.2,3.4,0.353,0.6,2.4,0.25,0.6,1.0,0.6,0.441,1.0,1.2,0.833,1.0,2.0,3.0,0.8,0.6,0.0,0.6,1.8,4.0,,2024-25
Luka Garza,26.0,MIN,C,6.0,0.0,5.2,1.7,3.0,0.556,0.2,0.8,0.2,1.5,2.2,0.692,0.583,0.5,1.0,0.5,0.5,0.8,1.3,0.0,0.2,0.0,0.3,0.5,4.0,,2024-25
Richaun Holmes,31.0,WAS,PF,3.0,0.0,6.7,1.7,3.3,0.5,0.0,0.3,0.0,1.7,3.0,0.556,0.5,0.7,0.7,1.0,0.7,1.0,1.7,0.0,0.0,0.7,0.7,0.3,4.0,,2024-25
Josh Richardson,31.0,MIA,SG,8.0,0.0,18.8,1.4,4.8,0.289,0.8,2.8,0.273,0.6,2.0,0.313,0.368,0.5,0.5,1.0,0.8,0.8,1.5,1.5,1.0,0.1,1.0,2.1,4.0,,2024-25
Reed Sheppard,20.0,HOU,PG,23.0,0.0,11.8,1.5,4.1,0.368,0.7,2.3,0.321,0.8,1.8,0.429,0.458,0.2,0.2,1.0,0.3,0.8,1.1,1.3,0.5,0.3,0.6,1.0,4.0,,2024-25
Aaron Holiday,28.0,HOU,PG,13.0,0.0,8.8,1.3,2.7,0.486,0.9,2.0,0.462,0.4,0.7,0.556,0.657,0.4,0.5,0.714,0.0,1.0,1.0,1.2,0.1,0.1,0.2,0.4,3.9,,2024-25
Jock Landale,29.0,HOU,C,14.0,0.0,11.1,1.5,3.4,0.447,0.2,0.4,0.5,1.3,2.9,0.439,0.479,0.7,1.4,0.526,1.4,1.9,3.3,1.0,0.2,0.4,0.5,1.0,3.9,,2024-25
Rob Dillingham,20.0,MIN,PG,11.0,0.0,8.4,1.6,3.3,0.5,0.5,1.1,0.5,1.1,2.2,0.5,0.583,0.0,0.0,,0.1,0.7,0.8,1.5,0.0,0.0,1.1,0.4,3.8,,2024-25
Jett Howard,21.0,ORL,SF,22.0,0.0,10.2,1.4,3.7,0.366,1.0,3.0,0.323,0.4,0.8,0.529,0.494,0.1,0.1,1.0,0.5,0.8,1.3,0.4,0.1,0.3,0.3,0.9,3.8,,2024-25
Damion Lee,32.0,PHO,SG,4.0,0.0,9.3,1.0,3.5,0.286,0.3,2.3,0.111,0.8,1.3,0.6,0.321,1.5,1.5,1.0,0.0,1.3,1.3,1.3,0.5,0.0,0.8,0.3,3.8,,2024-25
Nicolas Batum,36.0,LAC,PF,24.0,0.0,17.6,1.3,3.3,0.38,1.0,2.6,0.371,0.3,0.7,0.412,0.525,0.3,0.3,0.75,0.8,1.9,2.7,1.5,0.3,0.5,0.4,1.3,3.7,,2024-25
Bruno Fernando,26.0,TOR,C,15.0,1.0,9.4,1.7,3.1,0.532,0.0,0.0,,1.7,3.1,0.532,0.532,0.4,0.5,0.75,1.4,1.9,3.3,1.2,0.2,0.6,0.9,1.7,3.7,,2024-25
Patty Mills,36.0,UTA,PG,9.0,0.0,15.3,1.2,3.4,0.355,0.8,2.7,0.292,0.4,0.8,0.571,0.468,0.3,0.3,1.0,0.1,0.8,0.9,1.4,0.7,0.2,0.9,0.9,3.6,,2024-25
Rayan Rupert,20.0,POR,SG,19.0,0.0,10.8,1.4,3.2,0.433,0.5,1.4,0.333,0.9,1.7,0.515,0.508,0.4,0.6,0.667,0.8,0.8,1.6,0.4,0.4,0.1,0.6,0.8,3.6,,2024-25
Dru Smith,27.0,MIA,SG,7.0,0.0,12.1,1.4,3.0,0.476,0.7,1.1,0.625,0.7,1.9,0.385,0.595,0.0,0.0,,0.9,2.0,2.9,1.4,0.9,0.6,0.9,1.0,3.6,,2024-25
Bol Bol,25.0,PHO,PF,6.0,0.0,5.3,1.3,2.2,0.615,0.2,0.8,0.2,1.2,1.3,0.875,0.654,0.7,1.0,0.667,0.7,0.8,1.5,0.2,0.0,0.0,0.5,0.2,3.5,,2024-25
Ousmane Dieng,21.0,OKC,PF,16.0,0.0,11.6,1.3,3.7,0.339,0.6,2.3,0.25,0.7,1.4,0.478,0.415,0.4,0.7,0.636,0.6,2.1,2.6,0.8,0.7,0.3,0.3,1.1,3.5,,2024-25
Andre Jackson Jr.,23.0,MIL,SG,20.0,12.0,18.3,1.4,3.5,0.386,0.6,1.8,0.343,0.8,1.8,0.429,0.471,0.2,0.4,0.5,0.8,2.5,3.2,1.4,0.7,0.3,1.5,2.5,3.5,,2024-25
Cam Reddish,25.0,LAL,SF,15.0,8.0,19.5,1.2,2.5,0.486,0.6,1.3,0.45,0.6,1.1,0.529,0.608,0.5,0.8,0.667,0.4,1.9,2.3,0.6,1.0,0.3,0.5,1.7,3.5,,2024-25
Daniel Theis,32.0,NOP,C,17.0,7.0,14.3,1.4,3.3,0.429,0.2,1.1,0.222,1.2,2.2,0.526,0.464,0.5,0.6,0.8,0.7,2.7,3.4,1.2,0.3,0.6,0.6,1.5,3.5,,2024-25
Gabe Vincent,28.0,LAL,PG,22.0,1.0,18.0,1.4,4.0,0.341,0.6,2.5,0.236,0.8,1.5,0.515,0.415,0.2,0.4,0.5,0.3,0.8,1.1,0.7,0.7,0.0,0.4,1.6,3.5,,2024-25
Johnny Furphy,20.0,IND,SG,13.0,0.0,10.1,1.2,3.0,0.385,0.7,1.8,0.391,0.5,1.2,0.375,0.5,0.4,0.4,1.0,0.7,0.8,1.5,0.4,0.3,0.3,0.6,0.7,3.4,,2024-25
Dario Šarić,30.0,DEN,C,10.0,3.0,13.6,1.2,4.0,0.3,0.5,1.9,0.263,0.7,2.1,0.333,0.363,0.5,0.6,0.833,0.9,2.6,3.5,1.1,0.6,0.0,1.1,1.4,3.4,,2024-25
Nick Smith Jr.,20.0,CHO,SG,11.0,0.0,9.0,1.3,3.5,0.368,0.7,1.9,0.381,0.5,1.5,0.353,0.474,0.0,0.0,,0.1,0.7,0.8,0.8,0.2,0.0,0.2,0.3,3.3,,2024-25
Tristan Thompson,33.0,CLE,PF,8.0,0.0,7.3,1.6,2.4,0.684,0.0,0.1,0.0,1.6,2.3,0.722,0.684,0.0,0.8,0.0,0.4,1.8,2.1,0.5,0.0,0.3,0.5,0.8,3.3,,2024-25
Moses Brown,25.0,IND,C,9.0,0.0,5.1,1.4,2.2,0.65,0.0,0.0,,1.4,2.2,0.65,0.65,0.3,0.6,0.6,0.4,1.0,1.4,0.0,0.2,0.1,0.7,0.7,3.2,,2024-25
Charles Bassey,24.0,SAS,C,13.0,0.0,8.8,1.3,2.3,0.567,0.0,0.0,,1.3,2.3,0.567,0.567,0.5,0.8,0.545,1.0,2.0,3.0,0.6,0.5,0.9,0.5,1.2,3.1,,2024-25
Isaiah Collier,20.0,UTA,PG,14.0,1.0,17.1,1.2,3.8,0.321,0.2,1.6,0.136,1.0,2.2,0.452,0.349,0.5,1.1,0.438,0.1,1.5,1.6,3.1,0.9,0.1,2.4,1.7,3.1,,2024-25
Moussa Diabaté,23.0,CHO,C,22.0,4.0,20.0,1.5,2.6,0.552,0.0,0.0,,1.5,2.6,0.552,0.552,0.2,0.7,0.333,3.6,4.2,7.8,0.7,0.7,1.0,1.0,1.8,3.1,,2024-25
Jabari Walker,22.0,POR,SF,17.0,0.0,10.2,1.2,3.2,0.389,0.1,0.9,0.133,1.1,2.3,0.487,0.407,0.5,0.5,0.889,1.1,2.0,3.1,0.6,0.3,0.1,0.6,1.1,3.1,,2024-25
Cody Williams,20.0,UTA,SG,16.0,7.0,18.7,1.1,4.2,0.269,0.4,2.3,0.189,0.7,1.9,0.367,0.321,0.4,0.6,0.6,0.5,1.8,2.3,1.2,0.4,0.3,0.7,1.3,3.1,,2024-25
Justin Champagnie,23.0,WAS,SF,3.0,0.0,11.3,1.3,3.0,0.444,0.3,1.3,0.25,1.0,1.7,0.6,0.5,0.0,0.0,,1.0,1.3,2.3,1.3,0.0,0.0,0.3,1.7,3.0,,2024-25
David Duke Jr.,25.0,SAS,SG,1.0,0.0,8.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,1.0,2.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,,2024-25
Collin Gillespie,25.0,PHO,PG,1.0,0.0,3.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,2024-25
Taze Moore,26.0,POR,SG,2.0,0.0,10.0,1.0,5.0,0.2,0.5,2.0,0.25,0.5,3.0,0.167,0.25,0.5,1.0,0.5,2.0,2.0,4.0,0.5,1.0,0.0,1.0,0.0,3.0,,2024-25
Oscar Tshiebwe,25.0,UTA,PF,1.0,0.0,16.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,3.0,4.0,0.75,3.0,6.0,9.0,0.0,2.0,0.0,1.0,3.0,3.0,,2024-25
Kobe Brown,25.0,LAC,PF,7.0,0.0,6.7,1.3,2.9,0.45,0.1,0.9,0.167,1.1,2.0,0.571,0.475,0.1,0.3,0.5,0.7,1.6,2.3,0.6,0.1,0.0,0.0,0.7,2.9,,2024-25
Tyler Kolek,23.0,NYK,PG,15.0,0.0,7.1,1.0,2.4,0.417,0.6,1.4,0.429,0.4,1.0,0.4,0.542,0.3,0.3,1.0,0.1,0.7,0.8,0.7,0.3,0.1,0.5,0.6,2.9,,2024-25
Vit Krejci,24.0,ATL,PG,9.0,0.0,10.9,1.0,2.4,0.409,0.4,1.2,0.364,0.6,1.2,0.455,0.5,0.4,0.8,0.571,0.3,0.8,1.1,1.1,0.4,0.2,0.6,1.7,2.9,,2024-25
Taj Gibson,39.0,CHO,C,11.0,7.0,11.4,1.3,2.6,0.483,0.1,0.2,0.5,1.2,2.5,0.481,0.5,0.2,0.3,0.667,1.7,1.9,3.6,0.4,0.4,0.3,0.8,1.5,2.8,,2024-25
Craig Porter Jr.,24.0,CLE,PG,16.0,0.0,9.4,1.1,1.9,0.581,0.3,0.7,0.455,0.8,1.3,0.65,0.661,0.2,0.3,0.6,0.1,0.8,0.9,1.4,0.3,0.4,0.6,0.4,2.8,,2024-25
Ryan Rollins,22.0,MIL,PG,11.0,1.0,6.5,0.9,2.3,0.4,0.5,1.1,0.5,0.4,1.2,0.308,0.52,0.5,0.5,0.833,0.3,0.7,1.0,0.8,0.6,0.4,0.6,0.9,2.8,,2024-25
Josh Minott,22.0,MIN,SF,9.0,0.0,8.0,1.1,1.9,0.588,0.1,0.9,0.125,1.0,1.0,1.0,0.618,0.3,0.6,0.6,0.1,1.4,1.6,0.6,0.2,0.3,0.4,1.2,2.7,,2024-25
TyTy Washington Jr.,23.0,PHO,PG,3.0,0.0,9.0,1.0,2.0,0.5,0.7,1.0,0.667,0.3,1.0,0.333,0.667,0.0,0.0,,0.0,0.3,0.3,1.3,0.7,0.0,0.3,0.0,2.7,,2024-25
Delon Wright,32.0,MIL,PG,18.0,2.0,15.9,0.9,2.9,0.321,0.5,1.8,0.281,0.4,1.2,0.381,0.406,0.3,0.6,0.5,0.6,1.2,1.8,1.6,0.7,0.3,0.4,0.6,2.7,,2024-25
Trey Jemison,25.0,NOP,C,13.0,0.0,11.2,1.1,2.2,0.5,0.0,0.0,,1.1,2.2,0.5,0.5,0.5,1.0,0.462,1.2,1.6,2.8,0.6,0.5,0.5,0.8,1.8,2.6,,2024-25
